0000 - *CLS             *CLS          :*CLS
0137 - IMMediate        IMM           :SYSTem:BEEPer[:IMMediate]
0138 - ENABle?          ENAB?         :SYSTem:COMMunicate:ENABle?
0139 - ENABle           ENAB          :SYSTem:COMMunicate:ENABle
013A - ADDRess?         ADDR?         :SYSTem:COMMunicate:GPIB[:SELF]:ADDRess?
013B - ADDRess          ADDR          :SYSTem:COMMunicate:GPIB[:SELF]:ADDRess
013C - BSTatus?         BST?          :SYSTem:COMMunicate:LAN:BSTatus?
013D - CONTrol?         CONT?         :SYSTem:COMMunicate:LAN:CONTrol?
013E - DDNS?            DDNS?         :SYSTem:COMMunicate:LAN:DDNS?
013F - DDNS             DDNS          :SYSTem:COMMunicate:LAN:DDNS
0140 - DHCP?            DHCP?         :SYSTem:COMMunicate:LAN:DHCP?
0141 - DHCP             DHCP          :SYSTem:COMMunicate:LAN:DHCP
0142 - DNS?             DNS?          :SYSTem:COMMunicate:LAN:DNS?
0143 - DNS              DNS           :SYSTem:COMMunicate:LAN:DNS
0144 - DOMain?          DOM?          :SYSTem:COMMunicate:LAN:DOMain?
0145 - DOMain           DOM           :SYSTem:COMMunicate:LAN:DOMain
0146 - GATEway?         GATE?         :SYSTem:COMMunicate:LAN:GATEway?
0147 - GATEway          GATE          :SYSTem:COMMunicate:LAN:GATEway
0148 - HOSTname?        HOST?         :SYSTem:COMMunicate:LAN:HOSTname?
0149 - HOSTname         HOST          :SYSTem:COMMunicate:LAN:HOSTname
014A - IPADdress?       IPAD?         :SYSTem:COMMunicate:LAN:IPADdress?
014B - IPADdress        IPAD          :SYSTem:COMMunicate:LAN:IPADdress
014C - MAC?             MAC?          :SYSTem:COMMunicate:LAN:MAC?
014D - SMASk?           SMAS?         :SYSTem:COMMunicate:LAN:SMASk?
014E - SMASk            SMAS          :SYSTem:COMMunicate:LAN:SMASk
014F - STATe            STAT          :SYSTem:COMMunicate:LAN:AUTOip[:STATe]
0150 - STATe?           STAT?         :SYSTem:COMMunicate:LAN:AUTOip[:STATe]?
0151 - HISTory?         HIST?         :SYSTem:COMMunicate:LAN:HISTory?
0152 - CLEar            CLE           :SYSTem:COMMunicate:LAN:HISTory:CLEar
0153 - KEEPalive        KEEP          :SYSTem:COMMunicate:LAN:KEEPalive
0154 - KEEPalive?       KEEP?         :SYSTem:COMMunicate:LAN:KEEPalive?
0155 - LIPaddress?      LIP?          :SYSTem:COMMunicate:LAN:LIPaddress?
0156 - MEDiasense       MED           :SYSTem:COMMunicate:LAN:MEDiasense
0157 - MEDiasense?      MED?          :SYSTem:COMMunicate:LAN:MEDiasense?
0158 - NETBios          NETB          :SYSTem:COMMunicate:LAN:NETBios
0159 - NETBios?         NETB?         :SYSTem:COMMunicate:LAN:NETBios?
015A - PROMpt           PROM          :SYSTem:COMMunicate:LAN:TELNet:PROMpt
015B - PROMpt?          PROM?         :SYSTem:COMMunicate:LAN:TELNet:PROMpt?
015C - WMESsage         WMES          :SYSTem:COMMunicate:LAN:TELNet:WMESsage
015D - WMESsage?        WMES?         :SYSTem:COMMunicate:LAN:TELNet:WMESsage?
015E - IMMediate        IMM           :SYSTem:SECurity:IMMediate
015F - NAME?            NAME?         :SYSTem:LOCK:NAME?
0160 - OWNer?           OWN?          :SYSTem:LOCK:OWNer?
0161 - RELease          REL           :SYSTem:LOCK:RELease
0162 - REQuest?         REQ?          :SYSTem:LOCK:REQuest?
0163 - LFRequency       LFR           :SYSTem:LFRequency
0164 - LFRequency?      LFR?          :SYSTem:LFRequency?
